checkin_counter,gateNumber,distance,time
jetBlue Check-In,A3H,279,5
jetBlue Check-In,A3G,298,5
jetBlue Check-In,A3F,310,5
jetBlue Check-In,A3E,349,6
jetBlue Check-In,A3D,385,6
jetBlue Check-In,A3C,379,6
jetBlue Check-In,A3B,364,6
jetBlue Check-In,A3A,329,6
jetBlue Check-In,A15,351,6
jetBlue Check-In,A14,363,6
jetBlue Check-In,A12,327,5
jetBlue Check-In,A11,303,5
jetBlue Check-In,A10,290,5
jetBlue Check-In,A9,273,4
jetBlue Check-In,A8,244,4
jetBlue Check-In,A7,212,3
jetBlue Check-In,A2,225,3
jetBlue Check-In,A1,185,3
jetBlue Check-In,A17,554,9
jetBlue Check-In,A18,585,9
jetBlue Check-In,A19,593,10
jetBlue Check-In,A20,584,9
jetBlue Check-In,A24,577,9
jetBlue Check-In,A25,468,8
jetBlue Check-In,A26,502,8
jetBlue Check-In,A27,539,9
jetBlue Check-In,A29,545,9
jetBlue Check-In,A30,551,9
jetBlue Check-In,B76,963,12
jetBlue Check-In,B77,961,12
jetBlue Check-In,B79,959,12
jetBlue Check-In,B80,960,12
jetBlue Check-In,B81,962,12
jetBlue Check-In,B83,964,12
jetBlue Check-In,B85,1007,13
jetBlue Check-In,B86,1007,13
jetBlue Check-In,B86A,1007,13
jetBlue Check-In,B87,1008,13
jetBlue Check-In,B88,1009,13
jetBlue Check-In,B11,1068,14
jetBlue Check-In,B1,1123,15
jetBlue Check-In,B10,1137,16
jetBlue Check-In,B2,1157,16
jetBlue Check-In,B9,1171,16
jetBlue Check-In,B3,1195,17
jetBlue Check-In,B8,1211,17
jetBlue Check-In,B4,1230,17
jetBlue Check-In,B7,1245,17
jetBlue Check-In,B6,1241,17
jetBlue Check-In,B5,1245,17
jetBlue Check-In,B20,1039,14
jetBlue Check-In,B12,1052,14
jetBlue Check-In,B19,1058,14
jetBlue Check-In,B14,1087,15
jetBlue Check-In,B18,1095,15
jetBlue Check-In,B15,1114,15
jetBlue Check-In,B17,1127,15
jetBlue Check-In,B16,1122,15
jetBlue Check-In,B21,1087,15
jetBlue Check-In,B31,1112,15
jetBlue Check-In,B30,1134,16
jetBlue Check-In,B22,1155,16
jetBlue Check-In,B29,1173,16
jetBlue Check-In,B23,1193,17
jetBlue Check-In,B28,1208,17
jetBlue Check-In,B24,1232,17
jetBlue Check-In,B27,1245,17
jetBlue Check-In,B26,1246,17
jetBlue Check-In,B25,1249,17
jetBlue Check-In,B85A,1007,13
jetBlue Check-In,B83A ,unknown,unknown
jetBlue Check-In,B81A,962,12
jetBlue Check-In,B77A,961,12
jetBlue Check-In,B76A,963,12
jetBlue Check-In,B79A,959,12
jetBlue Check-In,C1,1534,15
jetBlue Check-In,C2,1591,16
jetBlue Check-In,C29,1794,19
jetBlue Check-In,C30,1798,20
jetBlue Check-In,C31,1774,19
jetBlue Check-In,C32,1738,19
jetBlue Check-In,C33,1701,18
jetBlue Check-In,C34,1662,17
jetBlue Check-In,C35,1696,18
jetBlue Check-In,C36,1730,18
jetBlue Check-In,C37,1751,19
jetBlue Check-In,C39,1758,19
jetBlue Check-In,C40,1741,19
jetBlue Check-In,C41,1712,18
jetBlue Check-In,C42,1679,18
jetBlue Check-In,C43,1684,18
jetBlue Check-In,C44,1727,18
jetBlue Check-In,C45,1765,19
jetBlue Check-In,C3,1627,17
jetBlue Check-In,C4,1782,19
jetBlue Check-In,C5,1820,20
jetBlue Check-In,C6,1877,21
jetBlue Check-In,C7,1915,21
jetBlue Check-In,C8,1915,21
jetBlue Check-In,C9,1909,21
jetBlue Check-In,C10,1868,21
jetBlue Check-In,C11,1831,20
jetBlue Check-In,C12,1764,19
jetBlue Check-In,C14,1232,18
jetBlue Check-In,C15,1176,17
jetBlue Check-In,D1,1550,15
jetBlue Check-In,D2,1579,16
jetBlue Check-In,D3,1599,16
jetBlue Check-In,D4,1781,19
jetBlue Check-In,D5,1780,19
jetBlue Check-In,D6,2131,19
jetBlue Check-In,D7,2047,18
jetBlue Check-In,D8,2060,18
jetBlue Check-In,D9,2123,19
jetBlue Check-In,D10,2183,20
jetBlue Check-In,D11,2182,20
jetBlue Check-In,D12,2178,20
jetBlue Check-In,D9A,2127,19
jetBlue Check-In,E1,2369,23
jetBlue Check-In,E2,2389,24
jetBlue Check-In,E3,2407,24
jetBlue Check-In,E4,2449,25
jetBlue Check-In,E5,2478,25
jetBlue Check-In,E6,2471,25
jetBlue Check-In,E7,2471,25
jetBlue Check-In,E8,2437,25
jetBlue Check-In,E9,2401,24
jetBlue Check-In,E10,2236,21
