fromGate,toGate,distance,time
A3H,A3G,24,1
A3H,A3F,36,1
A3H,A3E,75,1
A3H,A3D,110,2
A3H,A3C,104,2
A3H,A3B,90,1
A3H,A3A,55,1
A3H,A15,371,6
A3H,A14,384,7
A3H,A12,348,6
A3H,A11,324,6
A3H,A10,310,5
A3H,A9,293,5
A3H,A8,265,5
A3H,A7,233,4
A3H,A2,79,2
A3H,A1,120,2
A3H,A17,493,9
A3H,A18,524,9
A3H,A19,532,9
A3H,A20,523,9
A3H,A24,516,9
A3H,A25,407,7
A3H,A26,441,8
A3H,A27,478,8
A3H,A29,484,8
A3H,A30,490,8
A3H,B76,902,12
A3H,B77,900,12
A3H,B79,898,12
A3H,B80,900,12
A3H,B81,901,12
A3H,B83,903,12
A3H,B85,946,13
A3H,B86,946,13
A3H,B86A,946,13
A3H,B87,947,13
A3H,B88,948,13
A3H,B11,1008,14
A3H,B1,1062,15
A3H,B10,1077,15
A3H,B2,1096,15
A3H,B9,1110,16
A3H,B3,1134,16
A3H,B8,1150,16
A3H,B4,1169,17
A3H,B7,1184,17
A3H,B6,1180,17
A3H,B5,1184,17
A3H,B20,979,13
A3H,B12,991,14
A3H,B19,997,14
A3H,B14,1026,14
A3H,B18,1034,14
A3H,B15,1053,15
A3H,B17,1066,15
A3H,B16,1062,15
A3H,B21,1027,14
A3H,B31,1051,15
A3H,B30,1074,15
A3H,B22,1095,15
A3H,B29,1112,16
A3H,B23,1132,16
A3H,B28,1147,16
A3H,B24,1171,17
A3H,B27,1184,17
A3H,B26,1185,17
A3H,B25,1188,17
A3H,B85A,946,13
A3H,B81A,901,12
A3H,B77A,900,12
A3H,B76A,902,12
A3H,B79A,898,12
A3H,C1,1473,15
A3H,C2,1530,16
A3H,C29,1733,19
A3H,C30,1737,19
A3H,C31,1713,19
A3H,C32,1677,18
A3H,C33,1640,17
A3H,C34,1601,17
A3H,C35,1635,17
A3H,C36,1669,18
A3H,C37,1690,18
A3H,C39,1697,18
A3H,C40,1680,18
A3H,C41,1651,18
A3H,C42,1618,17
A3H,C43,1623,17
A3H,C44,1666,18
A3H,C45,1704,19
A3H,C3,1566,16
A3H,C4,1721,19
A3H,C5,1759,19
A3H,C6,1816,20
A3H,C7,1854,21
A3H,C8,1854,21
A3H,C9,1849,21
A3H,C10,1807,20
A3H,C11,1770,20
A3H,C12,1703,18
A3H,C14,1171,17
A3H,C15,1115,16
A3H,D1,1489,15
A3H,D2,1518,15
A3H,D3,1538,16
A3H,D4,1720,19
A3H,D5,1719,19
A3H,D6,2070,19
A3H,D7,1986,18
A3H,D8,2000,18
A3H,D9,2062,19
A3H,D10,2122,20
A3H,D11,2121,20
A3H,D12,2118,20
A3H,D9A,2066,19
A3H,E1,2308,23
A3H,E2,2328,23
A3H,E3,2346,24
A3H,E4,2388,24
A3H,E5,2417,25
A3H,E6,2410,25
A3H,E7,2410,25
