Processing Time for 2022/04/01/0000H:  1.218935489654541 seconds
Processing Time for 2022/04/01/0100H:  0.6166436672210693 seconds
Processing Time for 2022/04/01/0200H:  0.6750667095184326 seconds
Processing Time for 2022/04/01/0300H:  0.8057541847229004 seconds
Processing Time for 2022/04/01/0400H:  0.631166934967041 seconds
Processing Time for 2022/04/01/0500H:  2.5947608947753906 seconds
Processing Time for 2022/04/01/0600H:  5.054854869842529 seconds
Processing Time for 2022/04/01/0700H:  10.193701028823853 seconds
Processing Time for 2022/04/01/0800H:  4.633112192153931 seconds
Processing Time for 2022/04/01/0900H:  12.007529258728027 seconds
Processing Time for 2022/04/01/1000H:  15.353868007659912 seconds
Processing Time for 2022/04/01/1100H:  7.963190078735352 seconds
Processing Time for 2022/04/01/1200H:  12.731491088867188 seconds
Processing Time for 2022/04/01/1300H:  4.790322303771973 seconds
Processing Time for 2022/04/01/1400H:  11.843140840530396 seconds
Processing Time for 2022/04/01/1500H:  6.468500375747681 seconds
Processing Time for 2022/04/01/1600H:  10.557719945907593 seconds
Processing Time for 2022/04/01/1700H:  7.19735050201416 seconds
Processing Time for 2022/04/01/1800H:  12.012364625930786 seconds
Processing Time for 2022/04/01/1900H:  12.535529613494873 seconds
Processing Time for 2022/04/01/2000H:  13.69300889968872 seconds
Processing Time for 2022/04/01/2100H:  6.704156160354614 seconds
Processing Time for 2022/04/01/2200H:  3.555877685546875 seconds
Processing Time for 2022/04/01/2300H:  1.0512568950653076 seconds
Processing Time for 2022/04/02/0000H:  0.4684271812438965 seconds
Processing Time for 2022/04/02/0100H:  0.5180890560150146 seconds
Processing Time for 2022/04/02/0200H:  0.1463940143585205 seconds
Processing Time for 2022/04/02/0300H:  0.3096156120300293 seconds
Processing Time for 2022/04/02/0400H:  0.15523266792297363 seconds
Processing Time for 2022/04/02/0500H:  1.532254934310913 seconds
Processing Time for 2022/04/02/0600H:  3.58992862701416 seconds
Processing Time for 2022/04/02/0700H:  9.629985332489014 seconds
Processing Time for 2022/04/02/0800H:  6.401762008666992 seconds
Processing Time for 2022/04/02/0900H:  12.72750973701477 seconds
Processing Time for 2022/04/02/1000H:  14.100974559783936 seconds
Processing Time for 2022/04/02/1100H:  6.604061841964722 seconds
Processing Time for 2022/04/02/1200H:  11.340474128723145 seconds
Processing Time for 2022/04/02/1300H:  3.344388723373413 seconds
Processing Time for 2022/04/02/1400H:  10.838454484939575 seconds
Processing Time for 2022/04/02/1500H:  8.98169207572937 seconds
Processing Time for 2022/04/02/1600H:  12.24354076385498 seconds
Processing Time for 2022/04/02/1700H:  8.149186372756958 seconds
Processing Time for 2022/04/02/1800H:  10.685661792755127 seconds
Processing Time for 2022/04/02/1900H:  11.874925136566162 seconds
Processing Time for 2022/04/02/2000H:  12.497939348220825 seconds
Processing Time for 2022/04/02/2100H:  5.861035108566284 seconds
Processing Time for 2022/04/02/2200H:  2.9277148246765137 seconds
Processing Time for 2022/04/02/2300H:  0.9864218235015869 seconds
Processing Time for 2022/04/03/0000H:  0.4598042964935303 seconds
Processing Time for 2022/04/03/0100H:  0.29579806327819824 seconds
Processing Time for 2022/04/03/0200H:  0.13385963439941406 seconds
Processing Time for 2022/04/03/0300H:  0.3063035011291504 seconds
Processing Time for 2022/04/03/0400H:  0.1421983242034912 seconds
Processing Time for 2022/04/03/0500H:  1.3249187469482422 seconds
Processing Time for 2022/04/03/0600H:  3.0768539905548096 seconds
Processing Time for 2022/04/03/0700H:  8.060285806655884 seconds
Processing Time for 2022/04/03/0800H:  6.065759181976318 seconds
Processing Time for 2022/04/03/0900H:  11.35118055343628 seconds
Processing Time for 2022/04/03/1000H:  14.930464267730713 seconds
Processing Time for 2022/04/03/1100H:  11.596120119094849 seconds
Processing Time for 2022/04/03/1200H:  13.577525615692139 seconds
Processing Time for 2022/04/03/1300H:  4.162455081939697 seconds
Processing Time for 2022/04/03/1400H:  10.440995931625366 seconds
Processing Time for 2022/04/03/1500H:  6.668930768966675 seconds
Processing Time for 2022/04/03/1600H:  8.960683345794678 seconds
Processing Time for 2022/04/03/1700H:  4.826666831970215 seconds
Processing Time for 2022/04/03/1800H:  9.3694007396698 seconds
Processing Time for 2022/04/03/1900H:  11.801782608032227 seconds
Processing Time for 2022/04/03/2000H:  9.495327711105347 seconds
Processing Time for 2022/04/03/2100H:  5.33056378364563 seconds
Processing Time for 2022/04/03/2200H:  2.5228586196899414 seconds
Processing Time for 2022/04/03/2300H:  0.8531136512756348 seconds
Processing Time for 2022/04/04/0000H:  0.60416579246521 seconds
Processing Time for 2022/04/04/0100H:  0.3471701145172119 seconds
Processing Time for 2022/04/04/0200H:  0.14657926559448242 seconds
Processing Time for 2022/04/04/0300H:  0.4483976364135742 seconds
Processing Time for 2022/04/04/0400H:  0.19817543029785156 seconds
Processing Time for 2022/04/04/0500H:  1.671259880065918 seconds
Processing Time for 2022/04/04/0600H:  2.865340232849121 seconds
Processing Time for 2022/04/04/0700H:  8.384251832962036 seconds
Processing Time for 2022/04/04/0800H:  3.9716110229492188 seconds
Processing Time for 2022/04/04/0900H:  11.802698850631714 seconds
Processing Time for 2022/04/04/1000H:  13.511847734451294 seconds
Processing Time for 2022/04/04/1100H:  5.981424808502197 seconds
Processing Time for 2022/04/04/1200H:  9.872816801071167 seconds
