flt_code,dep_date,org_airport,dep_gate,lat,lng
UA0804,2/22/23,SDF,D21,38.1665730486625,-85.70522881644223
UA0657,2/21/23,AUS,E32,30.200394542016458,-97.66825061156054
UA0790,2/23/23,GRR,A23,42.94391674891091,-85.48826351312618
UA0221,2/21/23,AUS,C35,30.199496414105464,-97.66467646161381
UA0533,2/25/23,HRL,A32,26.236417325636857,-97.66053456046438
UA0059,2/21/23,MHT,E34,42.930794374900245,-71.43014280794276
UA0756,2/23/23,HRL,D35,26.231624162061678,-97.65589552693041
UA0445,2/21/23,TPA,A34,27.970824980867015,-82.55138522878289
UA0317,2/23/23,ORF,B04,36.91547204409006,-76.24588241346471
UA0566,2/21/23,MCO,B22,28.44349858065708,-81.26809504719643
UA0356,2/25/23,BMI,D34,40.500978735521386,-88.96541117585969
UA0905,2/21/23,AGS,C04,33.396909600022965,-81.98769021627555
UA0643,2/22/23,FAR,E01,46.934054126374946,-96.80738776736841
UA0140,2/21/23,FLL,C14,26.073013904069498,-80.14734273177504
UA0686,2/25/23,ONT,B11,34.068384420263484,-117.6409419312388
UA0126,2/21/23,DFW,D03,32.91198439431208,-96.96967226960001
UA0673,2/24/23,OKC,C12,35.41279871656221,-97.60293876886237
UA0315,2/21/23,EUG,D12,44.123632465795424,-123.09345817941775
UA0684,2/22/23,GRB,D32,44.51499817582181,-88.065500747722
UA0436,2/21/23,FNT,B01,42.97715467212713,-83.73741514058955
UA0814,2/24/23,ELP,D24,31.891039228716302,-106.28541720794765
UA0363,2/21/23,AUS,A02,30.210020578170365,-97.66573816676268
UA0214,2/24/23,ROC,B03,43.1610166475655,-77.62149066983676
UA0809,2/21/23,PHL,E01,39.87734376962225,-75.24085055724605
UA0990,2/21/23,SMF,D32,38.68776613793275,-121.5773113565598
UA0691,2/21/23,MHT,B21,42.94410332935481,-71.4031281074092
UA0329,2/23/23,TPA,E22,27.971615005879215,-82.53956759602895
UA0850,2/21/23,GSP,D02,34.88431615964227,-82.1662383416491
UA0680,2/23/23,DFW,D21,32.91408264369867,-97.03634472766392
UA0036,2/21/23,PHL,D25,39.89189756119936,-75.24666987569813
UA0417,2/25/23,PHL,B12,39.8801379261728,-75.22981682999597
UA0001,2/21/23,RIC,D12,37.549568870136454,-77.33623369492865
UA0961,2/23/23,AVL,E04,35.4436729774664,-82.50719251845905
UA0298,2/21/23,OAK,B04,37.72603001320774,-122.21255594215363
UA0373,2/25/23,MSP,E15,44.87891028043767,-93.23030078594425
UA0454,2/21/23,HSV,A13,34.611653176609174,-86.76110435616366
UA0778,2/21/23,FAR,D01,46.90727329176164,-96.78542762637805
UA0343,2/21/23,BHM,B02,33.56842531865951,-86.76242687196863
UA0932,2/25/23,SFO,C31,37.636887218334714,-122.38414059748894
UA0392,2/21/23,SDF,D21,38.239275448093196,-85.69110696067747
UA0147,2/22/23,MCI,A11,39.31176790555896,-94.70775094386178
UA0723,2/21/23,GPT,A25,30.460387756287947,-89.06971323632669
UA0463,2/25/23,FWA,C13,41.05628626099311,-85.08679421909818
UA0055,2/21/23,SMF,C05,38.69274437844078,-121.57102877458364
UA0489,2/24/23,LGB,E03,33.815072762432436,-118.1718609719375
UA0560,2/21/23,GPT,A23,30.452083009836194,-89.1410565795414
UA0059,2/21/23,BZN,B11,45.794169551952955,-111.14797327948773
UA0060,2/21/23,BMI,C02,40.492045054479256,-88.94237792219771
UA0974,2/24/23,BWI,B15,39.168922745373834,-76.69456161526634
UA0760,2/21/23,ORF,C12,36.90594784146467,-76.28234427095138
UA0811,2/25/23,LGA,B13,40.7688427803628,-73.87915720204778
UA0393,2/21/23,MFE,C33,26.188123843496843,-98.23445196770231
UA0567,2/25/23,PHL,B02,39.897559804381316,-75.24072649974889
UA0947,2/21/23,GSP,E22,34.84041126256324,-82.1425188370983
UA0921,2/22/23,EVV,A04,38.028462346947016,-87.46903349535997
UA0509,2/21/23,EWR,D33,40.691285361281516,-74.18383447378187
UA0528,2/24/23,BLI,B24,48.802081440316286,-122.53274114017334
UA0610,2/21/23,BTV,E11,44.49027126778832,-73.1810642886243
UA0968,2/24/23,MIA,B31,25.809785808819758,-80.27930814226237
UA0772,2/21/23,MDT,E24,40.2103538176067,-76.7621338475883
UA0239,2/21/23,JAN,B12,32.31943094815408,-90.07727589979233
UA0110,2/21/23,IND,D32,39.72369291149128,-86.28335289773558
UA0591,2/22/23,OKC,E25,35.39693847933163,-97.5948502733784
UA0554,2/21/23,SAT,C04,29.52994624909783,-98.49560891055522
UA0438,2/21/23,DCA,A34,38.85598117499258,-77.02907105990484
UA0193,2/21/23,HSV,E25,34.71140665722072,-86.61868347381737
UA0317,2/24/23,LGB,C01,33.80831385862746,-118.16085802547514
UA0791,2/21/23,MSP,E25,44.88109217837091,-93.22591194283694
UA0282,2/21/23,OMA,D02,41.247864276323504,-95.88862370867933
UA0686,2/21/23,JFK,B23,40.649007903872736,-73.75288721671576
UA0735,2/23/23,CWA,A33,44.785823590403076,-89.66875961643754
UA0773,2/21/23,BLI,A22,48.80121462894644,-122.53666999253433
UA0232,2/23/23,SLC,B04,40.78595035429508,-111.98984926426505
UA0350,2/21/23,SMF,C22,38.69249441460928,-121.5695533727759
UA0752,2/22/23,ORD,E12,41.9765714916919,-87.90910522650202
UA0474,2/21/23,MYR,C13,33.645175875885215,-78.88684960562709
UA0539,2/24/23,AGS,A13,33.364737908397665,-82.11729235263395
UA0081,2/21/23,BMI,A35,40.50700494833739,-88.95673737766631
UA0933,2/22/23,SEA,C34,47.45218365858606,-122.30792195449875
UA0194,2/21/23,CWA,A25,44.78240900271472,-89.6732738150342
UA0243,2/21/23,ELP,D22,31.815451263659217,-106.3562876143477
UA0679,2/21/23,SMF,D15,38.69034107748417,-121.59629854229286
UA0859,2/23/23,SLC,A11,40.78575592583792,-111.9738992075819
UA0033,2/21/23,ATL,E15,33.65343611017105,-84.44709912870873
UA0646,2/25/23,SAT,D23,29.57157111067979,-98.49264068476296
UA0779,2/21/23,ORF,B03,36.924394797135115,-76.24560966346979
UA0975,2/21/23,SAT,B03,29.56245357028345,-98.46934957741247
UA0376,2/21/23,SDF,A21,38.21064152327613,-85.66786437293538
UA0000,2/23/23,CWA,D21,44.78245221927944,-89.67296177613598
UA0770,2/21/23,FLL,D03,26.076720958498434,-80.14267965096292
UA0102,2/24/23,CAE,E11,34.0082497537821,-81.11581655644284
UA0416,2/21/23,OAK,D31,37.716802609066896,-122.20803824972755
UA0374,2/23/23,HNL,E14,21.310963646754402,-157.9240473665083
UA0914,2/21/23,GRR,C31,42.91064225680989,-85.49374687285226
UA0852,2/25/23,DSM,E03,41.55863366491806,-93.64953580956329
UA0449,2/21/23,ECP,D34,30.365014444859096,-85.79564596099776
UA0903,2/24/23,ELP,A24,31.95723987471645,-106.36521702082854
UA0907,2/21/23,HSV,E22,34.63669122876979,-86.64002046938643
UA0874,2/25/23,LGB,A22,33.79356293565547,-118.15585982677841
UA0949,2/21/23,JAC,E15,43.6303253537303,-110.93802528972881
UA0966,2/23/23,OKC,B11,35.39855850218641,-97.59451686278473
UA0946,2/21/23,GPT,C04,30.46812811458594,-89.05663373339473
UA0020,2/22/23,AUS,A23,30.197246351739093,-97.66492972574919
UA0187,2/21/23,ICT,C23,37.79363495922839,-97.30953314795673
UA0518,2/24/23,GPT,D01,30.41509435914923,-89.09610102167763
UA0170,2/21/23,LAX,C35,33.960682795161034,-118.41706654865118
UA0388,2/23/23,SNA,C25,33.67678606591239,-117.84652135174368
UA0969,2/21/23,JAX,D25,30.48667453608175,-81.69126300527239
UA0288,2/23/23,TPA,C25,27.97814532588485,-82.53772315540112
UA0767,2/21/23,PDX,B11,45.590535998518256,-122.57873641574106
UA0713,2/25/23,PIT,E31,40.48807567216947,-80.23851068589164
UA0095,2/21/23,RSW,C03,26.56949587739239,-81.69646995081439
UA0600,2/25/23,MKE,E35,43.136313578470556,-87.9214841898844
UA0778,2/21/23,GRB,C25,44.499974889283926,-88.02649794821802
UA0427,2/25/23,LAX,E32,33.96544878573172,-118.43378137591071
UA0559,2/21/23,FWA,D11,41.003436749419485,-85.15956096055038
UA0939,2/24/23,PBI,A34,26.6423544082754,-80.09206752909671
UA0696,2/21/23,ICT,D34,37.780774740078435,-97.3814823357665
UA0828,2/22/23,SLC,D01,40.79082948027855,-111.98578260944704
UA0516,2/21/23,MSP,B33,44.88314497557377,-93.2302698987659
UA0695,2/24/23,HNL,C23,21.28101009124901,-157.92416618674358
UA0823,2/21/23,BMI,D12,40.507854587940884,-88.95334711957254
UA0946,2/25/23,STL,A33,38.735803194288856,-90.3577799499112
